I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,-0.0009,,0.0132,-0.0132,0.0125,,,,,,
,-0.006,,0.0132,-0.0132,0.0073,,,,,,
,-0.0112,,0.0132,-0.0132,0.0021,,,,,,
,-0.0163,,0.0221,-0.0132,0.0,,,,,,
,-0.0215,,0.0374,-0.0132,0.0,,,,,,
,-0.0267,,0.0526,-0.0131,-0.0,,,,,,
,-0.0318,,0.0475,-0.008,-0.0052,,,,,,
,-0.037,,0.0424,-0.0029,-0.0103,,,,,,
,-0.0378,,0.0373,0.0,-0.0133,,,,,,
,-0.0327,,0.0322,0.0,-0.0133,,,,,,
,-0.0275,,0.0271,0.0,-0.0133,,,,,,
,-0.0267,,0.0263,0.0,-0.0133,,,,,,
,-0.0267,,0.0263,0.0,-0.0133,,,,,,
,-0.0267,,0.025,0.0,-0.0133,,,,,,
,-0.0267,,0.0199,0.0,-0.0133,,,,,,
,-0.0267,,0.0148,0.0,-0.0133,,,,,,
,-0.0232,,0.0132,0.0035,-0.0133,,,,,,
,-0.018,,0.0132,0.0086,-0.0133,,,,,,
,-0.0133,,0.0132,0.0132,-0.0133,,,,,,
,-0.0133,,0.0132,0.0132,-0.0133,,,,,,
,-0.0133,,0.0132,0.0132,-0.0133,,,,,,
,-0.0107,,0.0132,0.0105,-0.008,,,,,,
,-0.0055,,0.0132,0.0054,0.0024,,,,,,
,-0.0003,,0.0132,0.0003,0.0127,,,,,,
,0.0048,,0.0084,-0.0048,0.023,,,,,,
,0.01,,0.0033,-0.0099,0.0334,,,,,,
,0.0152,,0.0,-0.0132,0.0363,,,,,,
,0.0203,,0.0,-0.0132,0.026,,,,,,
,0.0255,,0.0,-0.0132,0.0156,,,,,,
,0.0227,,0.0,-0.0092,0.0133,,,,,,
,0.0175,,0.0,-0.0041,0.0133,,,,,,
,0.0123,,0.0,0.001,0.0133,,,,,,
,0.0072,,0.0,0.0061,0.0133,,,,,,
,0.002,,0.0,0.0112,0.0133,,,,,,
,0.0,,0.0,0.01,0.0102,,,,,,
,0.0,,0.0,0.0049,0.005,,,,,,
,0.0,,0.0002,0.0,0.0,,,,,,
,0.0,,0.0053,0.0,0.0,,,,,,
,0.0,,0.0104,0.0,0.0,,,,,,
,0.0,,0.0155,-0.0023,0.0023,,,,,,
,0.0,,0.0206,-0.0074,0.0075,,,,,,
,0.0,,0.0257,-0.0125,0.0127,,,,,,
,0.0,,0.0219,-0.0132,0.0133,,,,,,
,0.0,,0.0168,-0.0132,0.0133,,,,,,
,0.0,,0.0132,-0.0117,0.0118,,,,,,
,0.0,,0.0132,-0.0066,0.0067,,,,,,
,0.0,,0.0132,-0.0015,0.0015,,,,,,
,-0.0037,,0.0095,0.0036,-0.0037,,,,,,
,-0.0088,,0.0044,0.0087,-0.0088,,,,,,
,-0.0127,,0.0,0.0138,-0.0133,,,,,,
,-0.0075,,0.0,0.0189,-0.0133,,,,,,
,-0.0023,,0.0,0.024,-0.0133,,,,,,
,0.0028,,-0.0056,0.0235,-0.0077,,,,,,
,0.008,,-0.0158,0.0184,0.0027,,,,,,
,0.0132,,-0.026,0.0133,0.013,,,,,,
,0.0233,,-0.0214,0.0082,0.0133,,,,,,
,0.0337,,-0.0163,0.0031,0.0133,,,,,,
,0.038,,-0.0112,0.0,0.0173,,,,,,
,0.0328,,-0.0061,0.0,0.0277,,,,,,
,0.0277,,-0.001,0.0,0.038,,,,,,
,0.0225,,0.0,-0.0041,0.0358,,,,,,
,0.0173,,0.0,-0.0092,0.0307,,,,,,
,0.0133,,0.0,-0.0132,0.0255,,,,,,
,0.0133,,0.0,-0.0132,0.0203,,,,,,
,0.0133,,0.0,-0.0132,0.0152,,,,,,
,0.01,,0.0,-0.0099,0.0133,,,,,,
,0.0048,,0.0,-0.0048,0.0133,,,,,,
,0.0,,0.0,0.0003,0.013,,,,,,
,0.0,,0.0,0.0054,0.0078,,,,,,
,0.0,,0.0,0.0105,0.0027,,,,,,
,0.0,,0.0025,0.0107,0.0,,,,,,
,0.0,,0.0076,0.0056,0.0,,,,,,
,0.0,,0.0127,0.0005,0.0,,,,,,
,-0.0047,,0.0132,-0.0046,0.0,,,,,,
,-0.0098,,0.0132,-0.0097,0.0,,,,,,
,-0.0117,,0.0132,-0.0132,0.0,,,,,,
,-0.0065,,0.0132,-0.0132,0.0,,,,,,
,-0.0013,,0.0132,-0.0132,0.0,,,,,,
,0.0038,,0.0132,-0.0132,0.0038,,,,,,
,0.009,,0.0132,-0.0132,0.009,,,,,,
,0.0125,,0.0132,-0.014,0.0133,,,,,,
,0.0073,,0.0132,-0.0191,0.0133,,,,,,
,0.0022,,0.0132,-0.0242,0.0133,,,,,,
,-0.003,,0.0132,-0.0204,0.0103,,,,,,
,-0.0082,,0.0132,-0.0102,0.0052,,,,,,
,-0.0133,,0.0132,-0.0,0.0,,,,,,
,-0.0133,,0.0284,-0.0102,0.0052,,,,,,
,-0.0133,,0.0437,-0.0204,0.0103,,,,,,
,-0.0133,,0.0505,-0.0284,0.0133,,,,,,
,-0.0133,,0.0454,-0.0335,0.0133,,,,,,
,-0.0133,,0.0403,-0.0386,0.0133,,,,,,
,-0.0133,,0.0352,-0.0309,0.009,,,,,,
,-0.0133,,0.0301,-0.0207,0.0038,,,,,,
,-0.0133,,0.025,-0.0105,-0.0013,,,,,,
,-0.0133,,0.0199,-0.0004,-0.0065,,,,,,
,-0.0133,,0.0148,0.0098,-0.0117,,,,,,
,-0.0133,,0.0166,0.0097,-0.0133,,,,,,
,-0.0133,,0.0217,0.0046,-0.0133,,,,,,
,-0.0138,,0.0263,-0.0005,-0.0133,,,,,,
,-0.019,,0.0263,-0.0056,-0.0133,,,,,,
,-0.0242,,0.0263,-0.0107,-0.0133,,,,,,
,-0.0267,,0.0263,-0.0132,-0.0133,,,,,,
,-0.0267,,0.0263,-0.0132,-0.0133,,,,,,
,-0.0267,,0.0263,-0.0132,-0.0133,,,,,,
,-0.0267,,0.0358,-0.0179,-0.0085,,,,,,
,-0.0267,,0.046,-0.023,-0.0033,,,,,,
,-0.0267,,0.049,-0.0263,0.0,,,,,,
,-0.0267,,0.0388,-0.0263,0.0,,,,,,
,-0.0267,,0.0286,-0.0263,0.0,,,,,,
,-0.0267,,0.0302,-0.0263,0.0,,,,,,
,-0.0267,,0.0353,-0.0263,0.0,,,,,,
,-0.0257,,0.0395,-0.0263,0.0,,,,,,
,-0.0205,,0.0395,-0.0263,0.0,,,,,,
,-0.0153,,0.0395,-0.0263,0.0,,,,,,
,-0.0039,,0.0301,-0.017,0.0063,,,,,,
,0.0116,,0.0149,-0.0017,0.0166,,,,,,
,0.0273,,-0.0004,0.0129,0.0271,,,,,,
,0.0479,,-0.0157,0.0027,0.0426,,,,,,
,0.0686,,-0.031,-0.0075,0.0581,,,,,,
,0.0754,,-0.0349,-0.0154,0.0644,,,,,,
,0.065,,-0.0247,-0.0205,0.0592,,,,,,
,0.0547,,-0.0145,-0.0256,0.054,,,,,,
,0.0444,,-0.0043,-0.0307,0.0489,,,,,,
,0.034,,0.0059,-0.0358,0.0437,,,,,,
,0.0267,,0.0117,-0.038,0.04,,,,,,
,0.0267,,0.0066,-0.0329,0.04,,,,,,
,0.0267,,0.0015,-0.0278,0.04,,,,,,
,0.0376,,-0.0036,-0.0227,0.04,,,,,,
,0.0531,,-0.0087,-0.0176,0.04,,,,,,
,0.0654,,-0.0138,-0.0132,0.04,,,,,,
,0.055,,-0.0189,-0.0132,0.04,,,,,,
,0.0447,,-0.024,-0.0132,0.04,,,,,,
,0.0372,,-0.0235,-0.0132,0.0372,,,,,,
,0.032,,-0.0184,-0.0132,0.032,,,,,,
,0.0269,,-0.0133,-0.0132,0.0269,,,,,,
,0.0217,,-0.0082,-0.0132,0.0217,,,,,,
,0.0165,,-0.0031,-0.0132,0.0165,,,,,,
,0.0133,,0.0,-0.0132,0.0133,,,,,,
,0.0133,,0.0,-0.0132,0.0133,,,,,,
,0.0133,,0.0,-0.0132,0.0133,,,,,,
,0.0133,,0.0,-0.0091,0.0133,,,,,,
,0.0133,,0.0,-0.004,0.0133,,,,,,
,0.0122,,0.0,0.0,0.0133,,,,,,
,0.007,,0.0,0.0,0.0133,,,,,,
,0.0019,,0.0,0.0,0.0133,,,,,,
,0.0033,,0.0,0.0,0.01,,,,,,
,0.0085,,0.0,0.0,0.0049,,,,,,
,0.013,,0.0,0.0003,0.0,,,,,,
,0.0079,,0.0,0.0054,0.0,,,,,,
,0.0027,,0.0,0.0105,0.0,,,,,,
,-0.0025,,0.0,0.0132,-0.0025,,,,,,
,-0.0076,,0.0,0.0132,-0.0076,,,,,,
,-0.0128,,0.0,0.0132,-0.0128,,,,,,
,-0.0133,,0.0092,0.0132,-0.0133,,,,,,
,-0.0133,,0.0194,0.0132,-0.0133,,,,,,
,-0.0117,,0.0231,0.0164,-0.0133,,,,,,
,-0.0065,,0.0129,0.0266,-0.0133,,,,,,
,-0.0014,,0.0027,0.0368,-0.0133,,,,,,
,0.0076,,-0.0113,0.047,-0.0133,,,,,,
,0.0179,,-0.0266,0.0572,-0.0133,,,,,,
,0.0259,,-0.0387,0.0642,-0.0133,,,,,,
,0.0207,,-0.0336,0.054,-0.0133,,,,,,
,0.0155,,-0.0285,0.0438,-0.0133,,,,,,
,0.0104,,-0.0205,0.0365,-0.0133,,,,,,
,0.0052,,-0.0103,0.0314,-0.0133,,,,,,
,0.0,,-0.0001,0.0263,-0.0133,,,,,,
,-0.0051,,0.0,0.0263,-0.0133,,,,,,
,-0.0103,,0.0,0.0263,-0.0133,,,,,,
,-0.0133,,0.0,0.0263,-0.0133,,,,,,
,-0.0133,,0.0,0.0263,-0.0133,,,,,,
,-0.0133,,0.0,0.0263,-0.0133,,,,,,
,-0.0133,,0.0,0.0221,-0.0133,,,,,,
,-0.0133,,0.0,0.017,-0.0133,,,,,,
,-0.012,,0.0,0.0132,-0.0133,,,,,,
,-0.0069,,0.0,0.0132,-0.0133,,,,,,
,-0.0017,,0.0,0.0132,-0.0133,,,,,,
,0.0,,0.0,0.0132,-0.0099,,,,,,
,0.0,,0.0,0.0132,-0.0047,,,,,,
,0.0,,0.0,0.0127,0.0,,,,,,
,0.0,,0.0,0.0076,0.0,,,,,,
,0.0,,0.0,0.0025,0.0,,,,,,
,0.0026,,0.0,0.0,0.0026,,,,,,
,0.0078,,0.0,0.0,0.0078,,,,,,
,0.013,,0.0,0.0,0.013,,,,,,
,0.0229,,-0.0047,-0.0047,0.0181,,,,,,
,0.0333,,-0.0098,-0.0098,0.0233,,,,,,
,0.0418,,-0.0149,-0.0132,0.0338,,,,,,
,0.047,,-0.02,-0.0132,0.0545,,,,,,
,0.0521,,-0.0251,-0.0132,0.0752,,,,,,
,0.0613,,-0.0302,-0.0092,0.0721,,,,,,
,0.0716,,-0.0353,-0.0042,0.0617,,,,,,
,0.0781,,-0.0395,0.0009,0.0524,,,,,,
,0.0677,,-0.0395,0.006,0.0472,,,,,,
,0.0574,,-0.0395,0.0111,0.042,,,,,,
,0.0627,,-0.0487,0.0224,0.04,,,,,,
,0.0782,,-0.064,0.0377,0.04,,,,,,
,0.0936,,-0.0796,0.0535,0.0399,,,,,,
,0.1039,,-0.1051,0.0892,0.0347,,,,,,
,0.1142,,-0.1305,0.1249,0.0295,,,,,,
,0.1269,,-0.1651,0.1764,0.0152,,,,,,
,0.1424,,-0.211,0.2478,-0.0106,,,,,,
,0.1579,,-0.2569,0.3191,-0.0365,,,,,,
,0.1689,,-0.3159,0.4125,-0.0757,,,,,,
,0.1792,,-0.3771,0.5094,-0.117,,,,,,
,0.2027,,-0.4397,0.6077,-0.1569,,,,,,
,0.2595,,-0.506,0.7097,-0.193,,,,,,
,0.3163,,-0.5723,0.8116,-0.2292,,,,,,
,0.308,,-0.635,0.9029,-0.2654,,,,,,
,0.2718,,-0.6962,0.9895,-0.3015,,,,,,
,0.2332,,-0.7396,1.0603,-0.3364,,,,,,
,0.1763,,-0.6529,1.0144,-0.3623,,,,,,
,0.1195,,-0.5662,0.9685,-0.3881,,,,,,
,0.0543,,-0.4878,0.9254,-0.4195,,,,,,
,-0.018,,-0.4164,0.8846,-0.4557,,,,,,
,-0.0903,,-0.3451,0.8438,-0.4918,,,,,,
,-0.1627,,-0.2688,0.7737,-0.5131,,,,,,
,-0.235,,-0.1923,0.7023,-0.5338,,,,,,
,-0.2741,,-0.1351,0.6328,-0.5271,,,,,,
,-0.2586,,-0.1096,0.5666,-0.4755,,,,,,
,-0.2431,,-0.0841,0.5003,-0.4238,,,,,,
,-0.2318,,-0.0546,0.434,-0.3845,,,,,,
,-0.2214,,-0.024,0.3677,-0.3483,,,,,,
,-0.2089,,0.0055,0.3015,-0.3088,,,,,,
,-0.1882,,0.031,0.2352,-0.2572,,,,,,
,-0.1675,,0.0565,0.1689,-0.2055,,,,,,
,-0.1502,,0.0787,0.1221,-0.1703,,,,,,
,-0.1347,,0.0991,0.0864,-0.1444,,,,,,
,-0.1194,,0.1176,0.0515,-0.1186,,,,,,
,-0.1091,,0.1023,0.0311,-0.0928,,,,,,
,-0.0988,,0.087,0.0107,-0.0669,,,,,,
,-0.086,,0.0765,-0.0048,-0.0484,,,,,,
,-0.0705,,0.0714,-0.015,-0.0381,,,,,,
,-0.055,,0.0663,-0.0252,-0.0278,,,,,,
,-0.0487,,0.0612,-0.0309,-0.0174,,,,,,
,-0.0436,,0.0561,-0.036,-0.0071,,,,,,
,-0.0384,,0.0526,-0.0411,0.0016,,,,,,
,-0.0332,,0.0526,-0.0462,0.0068,,,,,,
,-0.0281,,0.0526,-0.0513,0.0119,,,,,,
,-0.0229,,0.0526,-0.0564,0.0171,,,,,,
,-0.0177,,0.0526,-0.0615,0.0223,,,,,,
,-0.0133,,0.0519,-0.0658,0.0267,,,,,,
,-0.0133,,0.0468,-0.0658,0.0267,,,,,,
,-0.0133,,0.0417,-0.0658,0.0267,,,,,,
,-0.0104,,0.0453,-0.0716,0.0326,,,,,,
,-0.0052,,0.0555,-0.0818,0.0429,,,,,,
,-0.0001,,0.0657,-0.092,0.0532,,,,,,
,0.0051,,0.0607,-0.1123,0.0687,,,,,,
,0.0103,,0.0556,-0.1327,0.0842,,,,,,
,0.0154,,0.0505,-0.1364,0.0891,,,,,,
,0.0206,,0.0455,-0.116,0.0788,,,,,,
,0.0258,,0.0404,-0.0956,0.0684,,,,,,
,0.0224,,0.0353,-0.0837,0.0581,,,,,,
,0.0172,,0.0302,-0.0735,0.0478,,,,,,
,0.0133,,0.0263,-0.0658,0.04,,,,,,
,0.0133,,0.0263,-0.0658,0.04,,,,,,
,0.0133,,0.0263,-0.0658,0.04,,,,,,
,0.0099,,0.0263,-0.0658,0.04,,,,,,
,0.0047,,0.0263,-0.0658,0.04,,,,,,
,0.0,,0.0268,-0.0654,0.04,,,,,,
,0.0,,0.0318,-0.0603,0.04,,,,,,
,0.0,,0.0369,-0.0552,0.04,,,,,,
,0.0,,0.0395,-0.0526,0.0374,,,,,,
,0.0,,0.0395,-0.0526,0.0322,,,,,,
,0.0,,0.0395,-0.0526,0.0271,,,,,,
,0.0,,0.0395,-0.0526,0.0267,,,,,,
,0.0,,0.0395,-0.0526,0.0267,,,,,,
,-0.0018,,0.0395,-0.0544,0.0267,,,,,,
,-0.0069,,0.0395,-0.0595,0.0267,,,,,,
,-0.0121,,0.0395,-0.0646,0.0267,,,,,,
,-0.0133,,0.0434,-0.0697,0.0306,,,,,,
,-0.0133,,0.0485,-0.0748,0.0358,,,,,,
,-0.0133,,0.0536,-0.0808,0.04,,,,,,
,-0.0133,,0.0587,-0.091,0.04,,,,,,
,-0.0133,,0.0638,-0.1012,0.04,,,,,,
,-0.0133,,0.0719,-0.1083,0.0431,,,,,,
,-0.0133,,0.0821,-0.1134,0.0483,,,,,,
,-0.0132,,0.0918,-0.1183,0.0533,,,,,,
,-0.0081,,0.0765,-0.1132,0.0533,,,,,,
,-0.0029,,0.0612,-0.1081,0.0533,,,,,,
,0.0045,,0.0482,-0.1008,0.0533,,,,,,
,0.0149,,0.038,-0.0906,0.0533,,,,,,
,0.0252,,0.0278,-0.0804,0.0533,,,,,,
,0.0355,,0.0219,-0.0746,0.0533,,,,,,
,0.0459,,0.0168,-0.0695,0.0533,,,,,,
,0.0519,,0.0132,-0.0658,0.0548,,,,,,
,0.0467,,0.0132,-0.0658,0.0599,,,,,,
,0.0416,,0.0132,-0.0658,0.0651,,,,,,
,0.0364,,0.0132,-0.0658,0.0667,,,,,,
,0.0312,,0.0132,-0.0658,0.0667,,,,,,
,0.0267,,0.0132,-0.0658,0.0661,,,,,,
,0.0267,,0.0132,-0.0658,0.0609,,,,,,
,0.0267,,0.0132,-0.0658,0.0557,,,,,,
,0.0267,,0.0132,-0.0658,0.0533,,,,,,
,0.0267,,0.0132,-0.0658,0.0533,,,,,,
,0.0267,,0.0132,-0.0658,0.0533,,,,,,
,0.0267,,0.018,-0.0658,0.0533,,,,,,
,0.0267,,0.0231,-0.0658,0.0533,,,,,,
,0.0247,,0.0263,-0.0658,0.0533,,,,,,
,0.0196,,0.0263,-0.0658,0.0533,,,,,,
,0.0144,,0.0263,-0.0658,0.0533,,,,,,
,0.0133,,0.0344,-0.0779,0.0615,,,,,,
,0.0133,,0.0446,-0.0932,0.0719,,,,,,
,0.0133,,0.0516,-0.102,0.0778,,,,,,
,0.0133,,0.0465,-0.0867,0.0675,,,,,,
,0.0133,,0.0414,-0.0714,0.0571,,,,,,
,0.0133,,0.033,-0.0594,0.0468,,,,,,
,0.0133,,0.0228,-0.0492,0.0365,,,,,,
,0.0133,,0.0134,-0.0397,0.0267,,,,,,
,0.0133,,0.0185,-0.0448,0.0267,,,,,,
,0.0133,,0.0236,-0.0499,0.0267,,,,,,
,0.0133,,0.0311,-0.0598,0.0339,,,,,,
,0.0133,,0.0413,-0.0751,0.0494,,,,,,
,0.0133,,0.0515,-0.0904,0.0649,,,,,,
,0.0133,,0.0436,-0.0785,0.0575,,,,,,
,0.0133,,0.0334,-0.0632,0.0472,,,,,,
,0.0133,,0.0247,-0.0511,0.0384,,,,,,
,0.0133,,0.0196,-0.046,0.0332,,,,,,
,0.0133,,0.0146,-0.0409,0.0281,,,,,,
,0.0133,,0.0132,-0.0395,0.0267,,,,,,
,0.0133,,0.0132,-0.0395,0.0267,,,,,,
,0.0133,,0.0132,-0.0395,0.0267,,,,,,
,0.0133,,0.0132,-0.0395,0.0267,,,,,,
,0.0133,,0.0132,-0.0395,0.0267,,,,,,
,0.0133,,0.0189,-0.0481,0.0383,,,,,,
,0.0133,,0.0291,-0.0634,0.059,,,,,,
,0.0133,,0.0393,-0.0787,0.0797,,,,,,
,0.0133,,0.0495,-0.094,0.0698,,,,,,
,0.0133,,0.0597,-0.1093,0.0595,,,,,,
,0.0133,,0.0596,-0.1081,0.0512,,,,,,
,0.0133,,0.0443,-0.0826,0.0461,,,,,,
,0.0133,,0.029,-0.0571,0.0409,,,,,,
,0.0091,,0.0263,-0.0526,0.0357,,,,,,
,0.0039,,0.0263,-0.0526,0.0306,,,,,,
,0.0,,0.0263,-0.0526,0.0267,,,,,,
,0.0,,0.0263,-0.0526,0.0267,,,,,,
,0.0,,0.0263,-0.0526,0.0267,,,,,,
,0.0,,0.0263,-0.0493,0.0267,,,,,,
,0.0,,0.0263,-0.0442,0.0267,,,,,,
,0.0,,0.0263,-0.0395,0.0267,,,,,,
,0.0,,0.0263,-0.0395,0.0267,,,,,,
,0.0,,0.0263,-0.0395,0.0267,,,,,,
,0.0,,0.0289,-0.0446,0.0292,,,,,,
,0.0,,0.034,-0.0548,0.0344,,,,,,
,0.0,,0.0391,-0.065,0.0396,,,,,,
,0.0,,0.0442,-0.0798,0.0447,,,,,,
,0.0,,0.0493,-0.0951,0.0499,,,,,,
,0.0,,0.0544,-0.1053,0.0533,,,,,,
,0.0,,0.0595,-0.1053,0.0533,,,,,,
,0.0,,0.0646,-0.1053,0.0533,,,,,,
,0.0,,0.0697,-0.1053,0.0572,,,,,,
,0.0,,0.0747,-0.1053,0.0624,,,,,,
,-0.0009,,0.078,-0.1053,0.0658,,,,,,
,-0.0061,,0.0729,-0.1053,0.0606,,,,,,
,-0.0112,,0.0679,-0.1053,0.0554,,,,,,
,-0.0133,,0.0658,-0.1022,0.0533,,,,,,
,-0.0133,,0.0658,-0.0971,0.0533,,,,,,
,-0.0133,,0.0657,-0.092,0.0533,,,,,,
,-0.0133,,0.0606,-0.0869,0.0481,,,,,,
,-0.0133,,0.0555,-0.0818,0.0429,,,,,,
,-0.0133,,0.0504,-0.0723,0.0378,,,,,,
,-0.0133,,0.0453,-0.057,0.0326,,,,,,
,-0.0133,,0.0402,-0.0417,0.0274,,,,,,
,-0.0133,,0.0525,-0.0525,0.0267,,,,,,
,-0.0133,,0.0678,-0.0678,0.0267,,,,,,
,-0.0147,,0.0776,-0.0789,0.0267,,,,,,
,-0.0199,,0.0725,-0.0789,0.0267,,,,,,
,-0.0251,,0.0674,-0.0789,0.0267,,,,,,
,-0.0231,,0.0623,-0.0789,0.0267,,,,,,
,-0.0179,,0.0572,-0.0789,0.0267,,,,,,
,-0.0128,,0.0521,-0.0784,0.0272,,,,,,
,-0.0076,,0.047,-0.0733,0.0324,,,,,,
,-0.0024,,0.0419,-0.0682,0.0376,,,,,,
,0.0,,0.0395,-0.0712,0.0455,,,,,,
,0.0,,0.0395,-0.0814,0.0558,,,,,,
,0.0,,0.0395,-0.0916,0.0661,,,,,,
,0.0,,0.0395,-0.0873,0.0618,,,,,,
,0.0,,0.0395,-0.0822,0.0566,,,,,,
,0.0019,,0.0376,-0.0752,0.0514,,,,,,
,0.0071,,0.0325,-0.065,0.0463,,,,,,
,0.0122,,0.0274,-0.0548,0.0411,,,,,,
,0.0133,,0.0223,-0.0446,0.0359,,,,,,
,0.0133,,0.0172,-0.0344,0.0308,,,,,,
,0.0133,,0.0153,-0.0284,0.0277,,,,,,
,0.0133,,0.0255,-0.0386,0.0329,,,,,,
,0.0133,,0.0357,-0.0488,0.0381,,,,,,
,0.0133,,0.0363,-0.059,0.0465,,,,,,
,0.0133,,0.0312,-0.0692,0.0568,,,,,,
,0.0133,,0.0261,-0.0783,0.0662,,,,,,
,0.0133,,0.021,-0.063,0.0559,,,,,,
,0.0133,,0.0159,-0.0477,0.0455,,,,,,
,0.0133,,0.0108,-0.0371,0.0376,,,,,,
,0.0133,,0.0057,-0.032,0.0324,,,,,,
,0.0133,,0.0006,-0.0269,0.0273,,,,,,
,0.0179,,0.0,-0.0218,0.0312,,,,,,
,0.0231,,0.0,-0.0167,0.0364,,,,,,
,0.0267,,0.0,-0.0147,0.04,,,,,,
,0.0267,,0.0,-0.0198,0.04,,,,,,
,0.0267,,0.0,-0.0249,0.04,,,,,,
,0.0229,,0.0037,-0.03,0.0437,,,,,,
,0.0178,,0.0088,-0.0351,0.0489,,,,,,
,0.0133,,0.0132,-0.0402,0.0526,,,,,,
,0.0133,,0.0132,-0.0453,0.0474,,,,,,
,0.0133,,0.0132,-0.0504,0.0423,,,,,,
,0.0133,,0.0189,-0.0526,0.04,,,,,,
,0.0133,,0.0291,-0.0526,0.04,,,,,,
,0.0133,,0.0393,-0.0526,0.04,,,,,,
,0.0133,,0.0295,-0.0426,0.0349,,,,,,
,0.0133,,0.0193,-0.0324,0.0298,,,,,,
,0.0133,,0.0132,-0.0263,0.0267,,,,,,
,0.0133,,0.0132,-0.0263,0.0267,,,,,,
,0.0133,,0.0132,-0.0263,0.0267,,,,,,
,0.0091,,0.0173,-0.0347,0.0267,,,,,,
,0.0039,,0.0224,-0.0449,0.0267,,,,,,
,0.0,,0.0263,-0.0526,0.0267,,,,,,
,0.0,,0.0263,-0.0526,0.0267,,,,,,
,0.0,,0.0263,-0.0526,0.0267,,,,,,
,0.0,,0.0397,-0.0593,0.0368,,,,,,
,0.0,,0.0601,-0.0695,0.0523,,,,,,
,0.0,,0.0782,-0.0801,0.0663,,,,,,
,0.0,,0.068,-0.0954,0.0611,,,,,,
,0.0,,0.0578,-0.1107,0.0559,,,,,,
,0.0,,0.0501,-0.1083,0.0508,,,,,,
,0.0,,0.045,-0.0879,0.0456,,,,,,
,0.0,,0.0399,-0.0675,0.0404,,,,,,
,-0.0047,,0.0488,-0.0658,0.04,,,,,,
,-0.0099,,0.059,-0.0658,0.04,,,,,,
,-0.0116,,0.0641,-0.0675,0.04,,,,,,
,-0.0064,,0.059,-0.0726,0.04,,,,,,
,-0.0013,,0.0539,-0.0777,0.04,,,,,,
,0.0,,0.0488,-0.0751,0.04,,,,,,
,0.0,,0.0437,-0.07,0.04,,,,,,
,0.0,,0.0395,-0.0658,0.04,,,,,,
,0.0,,0.0395,-0.0658,0.04,,,,,,
,0.0,,0.0395,-0.0658,0.04,,,,,,
,0.0,,0.0395,-0.0658,0.04,,,,,,
,0.0,,0.0395,-0.0658,0.04,,,,,,
,0.0,,0.0394,-0.0657,0.04,,,,,,
,0.0,,0.0343,-0.0606,0.04,,,,,,
,0.0,,0.0292,-0.0555,0.04,,,,,,
,0.0022,,0.0263,-0.0526,0.04,,,,,,
,0.0074,,0.0263,-0.0526,0.04,,,,,,
,0.0126,,0.0263,-0.0526,0.04,,,,,,
,0.0133,,0.022,-0.044,0.04,,,,,,
,0.0133,,0.0169,-0.0338,0.04,,,,,,
,0.0133,,0.0145,-0.029,0.0414,,,,,,
,0.0133,,0.0196,-0.0392,0.0466,,,,,,
,0.0133,,0.0247,-0.0494,0.0517,,,,,,
,0.0133,,0.0333,-0.0666,0.0604,,,,,,
,0.0133,,0.0435,-0.087,0.0708,,,,,,
,0.0133,,0.0515,-0.1036,0.0789,,,,,,
,0.0133,,0.0414,-0.0883,0.0686,,,,,,
,0.0133,,0.0312,-0.073,0.0582,,,,,,
,0.016,,0.0236,-0.0631,0.0506,,,,,,
,0.0212,,0.0185,-0.058,0.0455,,,,,,
,0.0264,,0.0134,-0.0529,0.0403,,,,,,
,0.0218,,0.0132,-0.0478,0.04,,,,,,
,0.0166,,0.0132,-0.0427,0.04,,,,,,
,0.0133,,0.0132,-0.0395,0.04,,,,,,
,0.0133,,0.0132,-0.0395,0.04,,,,,,
,0.0133,,0.0132,-0.0395,0.04,,,,,,
,0.0133,,0.0132,-0.0395,0.04,,,,,,
,0.0133,,0.0132,-0.0395,0.04,,,,,,
,0.0133,,0.0132,-0.0395,0.039,,,,,,
,0.0133,,0.0132,-0.0395,0.0338,,,,,,
,0.0133,,0.0132,-0.0395,0.0286,,,,,,
,0.0133,,0.0195,-0.049,0.0363,,,,,,
,0.0133,,0.0297,-0.0643,0.0518,,,,,,
,0.0133,,0.0393,-0.0783,0.0662,,,,,,
,0.0133,,0.0342,-0.063,0.0559,,,,,,
,0.0133,,0.0291,-0.0477,0.0456,,,,,,
,0.0133,,0.0216,-0.0348,0.0352,,,,,,
,0.0133,,0.0114,-0.0246,0.0249,,,,,,
,0.0133,,0.0012,-0.0144,0.0146,,,,,,
,0.0088,,0.0,-0.0042,0.0133,,,,,,
,0.0036,,0.0,0.006,0.0133,,,,,,
,0.0015,,0.0015,0.0101,0.0133,,,,,,
,0.0067,,0.0066,-0.0001,0.0133,,,,,,
,0.0119,,0.0117,-0.0103,0.0133,,,,,,
,0.0133,,0.0168,-0.0241,0.0245,,,,,,
,0.0133,,0.0219,-0.0394,0.04,,,,,,
,0.0126,,0.027,-0.0526,0.0526,,,,,,
,0.0075,,0.0321,-0.0526,0.0475,,,,,,
,0.0023,,0.0372,-0.0526,0.0423,,,,,,
,0.0,,0.0366,-0.0498,0.0371,,,,,,
,0.0,,0.0315,-0.0447,0.032,,,,,,
,0.0,,0.0264,-0.0396,0.0268,,,,,,
,-0.005,,0.0263,-0.0345,0.0216,,,,,,
